camis,inspection_date,dba,boro,zipcode,cuisine,score,grade,action,violation_count,critical_count,failed,latitude,longitude,yelp_rating,yelp_reviews,yelp_price,yelp_category,high_rating,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean,food_complaints_total,rodent_complaints,food_safety_complaints,median_household_income,total_population,white_population,inspection_year,inspection_month,inspection_dow,inspection_quarter,is_weekend,prev_score,prev_failed,inspection_count,score_trend,grade_available,has_yelp,is_first_inspection,has_history,cuisine_grouped,yelp_category_primary,white_pct,score_bucket,has_location
40359705,2024-07-24,NATHAN'S FAMOUS,BROOKLYN,11224,Hotdogs,51.0,,Violations were cited in the following area(s).,8,6,1,40.575536869421,-73.981652264112,3.5,1491.0,2.0,"hotdog,seafood,burgers",0.0,24.59583333333333,29.5,21.2,8.799999999999999,8.799999999999999,0.0,9.133333333333333,18.25,94.66666666666669,14.0,0.0,0.0,74692.0,2679620.0,1082004.0,2024,7,2,3,0,13.0,0.0,2,38.0,0,1,0,1,Other,hotdog,0.4037900896395757,C,1
40360045,2023-01-31,SEUDA FOODS,BROOKLYN,11223,Jewish/Kosher,13.0,A,Violations were cited in the following area(s).,4,1,0,40.606186921432,-73.965466445897,4.2,6.0,,catering,1.0,3.404166666666667,6.5,0.5,2.5,1.9,0.42,12.05,22.475,98.70833333333331,10.0,0.0,0.0,74692.0,2679620.0,1082004.0,2023,1,1,1,0,-1.0,-1.0,1,0.0,1,1,1,0,Jewish/Kosher,catering,0.4037900896395757,A,1
40360045,2024-07-29,SEUDA FOODS,BROOKLYN,11223,Jewish/Kosher,5.0,A,Violations were cited in the following area(s).,2,0,0,40.606186921432,-73.965466445897,4.2,6.0,,catering,1.0,25.025,29.5,21.6,4.0,4.0,0.0,9.570833333333333,18.845833333333335,75.29166666666667,15.0,0.0,0.0,74692.0,2679620.0,1082004.0,2024,7,0,3,0,13.0,0.0,2,-8.0,1,1,0,1,Jewish/Kosher,catering,0.4037900896395757,A,1
40361618,2023-04-26,SAL'S DELI,QUEENS,11356,Sandwiches,13.0,A,Violations were cited in the following area(s).,4,2,0,40.781673836068,-73.839415976831,4.9,20.0,1.0,"delis,sandwiches",1.0,9.979166666666666,13.9,6.2,0.9,0.9,0.0,10.129166666666666,20.829166666666666,54.25,11.0,0.0,0.0,82431.0,2360826.0,720630.0,2023,4,2,2,0,-1.0,-1.0,1,0.0,1,1,1,0,Sandwiches,delis,0.3052448592145291,A,1
40361618,2024-09-16,SAL'S DELI,QUEENS,11356,Sandwiches,12.0,A,Violations were cited in the following area(s).,2,1,0,40.781673836068,-73.839415976831,4.9,20.0,1.0,"delis,sandwiches",1.0,18.933333333333337,25.8,13.1,0.0,0.0,0.0,9.120833333333334,17.620833333333334,77.33333333333333,10.0,0.0,0.0,82431.0,2360826.0,720630.0,2024,9,0,3,0,13.0,0.0,2,-1.0,1,1,0,1,Sandwiches,delis,0.3052448592145291,A,1
40362264,2023-02-07,P & S DELI GROCERY,MANHATTAN,10025,American,12.0,A,Violations were cited in the following area(s).,2,2,0,40.792620635885,-73.96770961573,3.7,13.0,1.0,grocery,0.0,0.375,3.7,-4.1,2.6,2.4,0.14,13.445833333333333,24.870833333333337,63.166666666666664,14.0,0.0,0.0,99880.0,1645867.0,842952.0,2023,2,1,1,0,-1.0,-1.0,1,0.0,1,1,1,0,American,grocery,0.5121628904401145,A,1
40362264,2024-04-17,P & S DELI GROCERY,MANHATTAN,10025,American,13.0,A,Violations were cited in the following area(s).,3,2,0,40.792620635885,-73.96770961573,3.7,13.0,1.0,grocery,0.0,10.666666666666666,15.6,7.4,3.0,3.0,0.0,13.3125,23.5,73.66666666666667,22.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,4,2,2,0,12.0,0.0,2,1.0,1,1,0,1,American,grocery,0.5121628904401145,A,1
40362274,2023-06-21,ANGELIKA FILM CENTER,MANHATTAN,10012,American,11.0,A,Violations were cited in the following area(s).,4,1,0,40.725743617441,-73.997478107592,3.4,527.0,2.0,"movietheaters,cafes,bars",0.0,18.791666666666668,22.9,15.5,0.3,0.3,0.0,17.983333333333334,32.37083333333333,99.66666666666669,31.0,0.0,0.0,99880.0,1645867.0,842952.0,2023,6,2,2,0,-1.0,-1.0,1,0.0,1,1,1,0,American,movietheaters,0.5121628904401145,A,1
40362432,2024-03-27,HO MEI,QUEENS,11368,Chinese,27.0,,Violations were cited in the following area(s).,5,4,0,40.753305911581,-73.864295375778,4.2,9.0,1.0,chinese,1.0,7.45,10.9,4.8,0.6,0.6,0.0,5.079166666666667,11.983333333333334,99.875,7.0,0.0,0.0,82431.0,2360826.0,720630.0,2024,3,2,1,0,-1.0,-1.0,1,0.0,0,1,1,0,Chinese,chinese,0.3052448592145291,B,1
40362432,2024-11-12,HO MEI,QUEENS,11368,Chinese,9.0,A,Violations were cited in the following area(s).,2,1,0,40.753305911581,-73.864295375778,4.2,9.0,1.0,chinese,1.0,9.7,12.1,5.6,0.0,0.0,0.0,19.829166666666666,42.19166666666667,8.166666666666666,10.0,0.0,0.0,82431.0,2360826.0,720630.0,2024,11,1,4,0,27.0,0.0,2,-18.0,1,1,0,1,Chinese,chinese,0.3052448592145291,A,1
