date,borough,food_complaints_total,rodent_complaints,food_safety_complaints
2023-01-30,QUEENS,5,0,0
2023-01-30,STATEN ISLAND,2,0,0
2023-01-31,BRONX,5,0,0
2023-01-31,BROOKLYN,10,0,0
2023-01-31,MANHATTAN,17,0,0
2023-01-31,QUEENS,6,0,0
2023-02-01,BRONX,1,0,0
2023-02-01,BROOKLYN,6,0,0
2023-02-01,MANHATTAN,11,0,0
2023-02-01,QUEENS,18,0,0
2023-02-01,STATEN ISLAND,3,0,0
2023-02-02,BRONX,4,0,0
2023-02-02,BROOKLYN,6,0,0
2023-02-02,MANHATTAN,16,0,0
2023-02-02,QUEENS,17,0,0
2023-02-02,STATEN ISLAND,2,0,0
2023-02-03,BRONX,3,0,0
2023-02-03,BROOKLYN,5,0,0
2023-02-03,MANHATTAN,10,0,0
2023-02-03,QUEENS,11,0,0
2023-02-04,BRONX,4,0,0
2023-02-04,BROOKLYN,2,0,0
2023-02-04,MANHATTAN,15,0,0
2023-02-04,QUEENS,7,0,0
2023-02-05,BRONX,2,0,0
2023-02-05,BROOKLYN,10,0,0
2023-02-05,MANHATTAN,13,0,0
2023-02-05,QUEENS,6,0,0
2023-02-06,BRONX,8,0,0
2023-02-06,BROOKLYN,11,0,0
2023-02-06,MANHATTAN,14,0,0
2023-02-06,QUEENS,17,0,0
2023-02-06,STATEN ISLAND,1,0,0
2023-02-07,BRONX,7,0,0
2023-02-07,BROOKLYN,12,0,0
2023-02-07,MANHATTAN,14,0,0
2023-02-07,QUEENS,4,0,0
2023-02-07,STATEN ISLAND,1,0,0
2023-02-08,BRONX,3,0,0
2023-02-08,BROOKLYN,7,0,0
2023-02-08,MANHATTAN,13,0,0
2023-02-08,QUEENS,7,0,0
2023-02-08,STATEN ISLAND,2,0,0
2023-02-09,BRONX,6,0,0
2023-02-09,BROOKLYN,7,0,0
2023-02-09,MANHATTAN,18,0,0
2023-02-09,QUEENS,19,0,0
2023-02-10,BRONX,4,0,0
2023-02-10,BROOKLYN,6,0,0
2023-02-10,MANHATTAN,22,0,0
2023-02-10,QUEENS,12,0,0
2023-02-10,STATEN ISLAND,2,0,0
2023-02-11,BROOKLYN,6,0,0
2023-02-11,MANHATTAN,19,0,0
2023-02-11,QUEENS,11,0,0
2023-02-11,STATEN ISLAND,1,0,0
2023-02-12,BRONX,1,0,0
2023-02-12,BROOKLYN,7,0,0
2023-02-12,MANHATTAN,8,0,0
2023-02-12,QUEENS,7,0,0
2023-02-13,BRONX,5,0,0
2023-02-13,BROOKLYN,5,0,0
2023-02-13,MANHATTAN,12,0,0
2023-02-13,QUEENS,6,0,0
2023-02-13,STATEN ISLAND,2,0,0
2023-02-14,BRONX,3,0,0
2023-02-14,BROOKLYN,16,0,0
2023-02-14,MANHATTAN,20,0,0
2023-02-14,QUEENS,11,0,0
2023-02-15,BRONX,1,0,0
2023-02-15,BROOKLYN,10,0,0
2023-02-15,MANHATTAN,14,0,0
2023-02-15,QUEENS,11,0,0
2023-02-15,STATEN ISLAND,1,0,0
2023-02-16,BRONX,8,0,0
2023-02-16,BROOKLYN,10,0,0
2023-02-16,MANHATTAN,18,0,0
2023-02-16,QUEENS,10,0,0
2023-02-16,STATEN ISLAND,1,0,0
2023-02-17,BRONX,3,0,0
2023-02-17,BROOKLYN,10,0,0
2023-02-17,MANHATTAN,11,0,0
2023-02-17,QUEENS,16,0,0
2023-02-17,STATEN ISLAND,2,0,0
