date,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean
2023-01-01,8.979166666666666,11.9,4.9,2.1,2.1,0.0,12.645833333333334,22.258333333333336,42.541666666666664
2023-01-02,7.895833333333333,12.9,4.6,0.5,0.5,0.0,6.6125,12.108333333333334,86.04166666666667
2023-01-03,9.545833333333333,12.9,6.3,9.5,9.5,0.0,9.725,17.1375,99.79166666666667
2023-01-04,13.129166666666668,18.0,9.6,2.3,2.3,0.0,10.875,19.929166666666667,99.33333333333333
2023-01-05,10.041666666666666,13.1,7.4,0.0,0.0,0.0,8.129166666666666,15.033333333333333,96.75
2023-01-06,6.2124999999999995,8.7,3.3,9.6,9.6,0.0,9.733333333333333,17.891666666666666,70.75
2023-01-07,3.704166666666667,8.2,0.5,0.0,0.0,0.0,13.254166666666668,23.229166666666668,50.166666666666664
2023-01-08,1.3499999999999999,4.2,-2.3,0.0,0.0,0.0,8.716666666666667,16.966666666666665,39.458333333333336
2023-01-09,3.1041666666666665,7.2,0.8,1.5,1.2,0.21000000000000002,9.466666666666667,17.75,42.75
2023-01-10,2.6875,6.3,0.1,0.0,0.0,0.0,9.908333333333333,18.204166666666666,80.54166666666667
2023-01-11,1.0625,3.9,-1.1,0.0,0.0,0.0,9.5375,17.558333333333334,83.04166666666667
2023-01-12,5.2749999999999995,9.8,-0.6,11.899999999999999,11.899999999999999,0.0,12.479166666666666,21.958333333333332,88.83333333333333
2023-01-13,9.2875,12.7,3.1,1.6,1.6,0.0,20.770833333333332,35.887499999999996,100.0
2023-01-14,1.05,2.9,-0.5,0.0,0.0,0.0,23.787499999999998,40.09583333333333,99.75
2023-01-15,0.6916666666666668,5.2,-1.7,0.0,0.0,0.0,28.508333333333336,48.86666666666667,39.958333333333336
2023-01-16,1.5625,8.2,-2.3,0.0,0.0,0.0,16.766666666666666,29.229166666666668,12.166666666666666
2023-01-17,2.533333333333333,7.4,-2.0,1.4,1.4,0.0,8.137500000000001,15.5375,70.45833333333333
2023-01-18,6.6625000000000005,10.8,3.0,1.7,1.7,0.0,16.020833333333332,28.120833333333334,50.625
2023-01-19,4.016666666666667,5.7,2.4,23.5,23.5,0.0,9.916666666666666,18.004166666666666,99.625
2023-01-20,5.441666666666666,9.0,1.9,0.6,0.6,0.0,17.470833333333335,32.2875,56.0
2023-01-21,2.7916666666666665,6.2,-1.9,0.2,0.2,0.0,12.629166666666668,23.008333333333336,48.708333333333336
2023-01-22,1.4458333333333335,5.6,-3.4,5.4,5.4,0.0,9.366666666666667,18.004166666666666,86.83333333333333
2023-01-23,2.475,3.0,1.2,16.9,16.5,0.28,20.008333333333333,33.887499999999996,90.54166666666667
2023-01-24,2.35,7.8,-1.0,0.0,0.0,0.0,15.75,28.795833333333334,44.041666666666664
2023-01-25,2.25,10.6,-2.4,20.0,19.4,0.42000000000000004,15.012500000000001,26.46666666666667,100.0
2023-01-26,7.4875,11.9,3.0,14.5,14.5,0.0,24.733333333333334,44.699999999999996,54.708333333333336
2023-01-27,2.191666666666667,6.2,-1.5,0.0,0.0,0.0,12.358333333333334,22.5625,22.125
2023-01-28,4.391666666666667,10.9,-0.8,0.0,0.0,0.0,14.516666666666666,25.354166666666668,64.25
2023-01-29,5.608333333333333,10.5,0.2,0.0,0.0,0.0,13.283333333333333,21.795833333333334,92.83333333333333
2023-01-30,6.141666666666667,11.7,2.5,0.0,0.0,0.0,9.0375,16.845833333333335,60.541666666666664
2023-01-31,3.404166666666667,6.5,0.5,2.5,1.9,0.42,12.049999999999999,22.474999999999998,98.70833333333333
2023-02-01,-0.6291666666666667,3.2,-3.2,1.5999999999999999,0.0,1.1199999999999999,11.174999999999999,21.84583333333333,45.958333333333336
2023-02-02,-0.21666666666666667,4.1,-4.4,0.0,0.0,0.0,10.354166666666666,19.195833333333333,75.375
2023-02-03,-4.395833333333333,0.3,-10.6,0.0,0.0,0.0,30.354166666666668,51.25416666666666,39.458333333333336
2023-02-04,-9.541666666666666,-3.8,-16.5,0.0,0.0,0.0,20.224999999999998,39.270833333333336,19.166666666666668
2023-02-05,1.3708333333333333,9.1,-4.7,0.0,0.0,0.0,14.7125,25.84583333333333,97.125
2023-02-06,4.141666666666667,10.2,-0.9,0.0,0.0,0.0,16.462500000000002,28.004166666666666,28.875
2023-02-07,0.37500000000000006,3.7,-4.1,2.6,2.4,0.14,13.445833333333333,24.870833333333334,63.166666666666664
2023-02-08,4.825,10.4,1.1,0.7,0.7,0.0,12.820833333333333,22.795833333333334,41.291666666666664
2023-02-09,4.695833333333334,11.1,-1.8,0.0,0.0,0.0,11.012500000000001,18.408333333333335,86.79166666666667
2023-02-10,11.208333333333334,14.1,6.0,0.0,0.0,0.0,19.816666666666666,34.49166666666667,44.291666666666664
2023-02-11,3.704166666666667,6.8,0.4,0.0,0.0,0.0,14.4125,26.412499999999998,21.291666666666668
2023-02-12,2.829166666666667,6.8,-0.6,0.8,0.2,0.42,6.5,12.845833333333333,99.95833333333333
2023-02-13,6.591666666666666,13.4,2.5,1.8,1.3,0.35,17.375,30.229166666666668,48.5
2023-02-14,6.2625,11.4,2.5,0.0,0.0,0.0,16.3125,28.120833333333334,18.166666666666668
2023-02-15,10.1625,17.0,3.0,0.0,0.0,0.0,17.791666666666668,29.34166666666667,79.625
