threshold,precision,recall,f1,accuracy
0.1,0.18489716131225564,0.9990815154994259,0.3120450389070176,0.18676613962951974
0.11,0.1850906305846311,0.9988518943742825,0.31230929389381484,0.18795303293628926
0.12,0.18535088840598235,0.9988518943742825,0.3126797009775733,0.1893518714764105
0.13,0.18570879425959938,0.9983926521239954,0.3131662345145491,0.1915561019032682
0.13999999999999999,0.18610825625214114,0.9979334098737084,0.3137113364853647,0.1939722775634776
0.14999999999999997,0.18643995019107734,0.9970149253731343,0.3141368832296339,0.19630367513034633
0.15999999999999998,0.18676590801531645,0.9967853042479908,0.31458801362417566,0.19816879318384129
0.16999999999999998,0.18715493443754314,0.9963260619977038,0.3151167435273612,0.20050019075071002
0.17999999999999997,0.18759736887657955,0.9954075774971297,0.31569748388741214,0.20338264592429317
0.18999999999999995,0.1878661632599922,0.9940298507462687,0.31600846777137015,0.2056292653978212
0.19999999999999996,0.18849102631120404,0.9935706084959817,0.31686866097909266,0.20914755627145945
0.20999999999999996,0.18882862391741756,0.9912743972445465,0.31722820296138443,0.21228434572506463
0.21999999999999995,0.18945518453427065,0.9901262916188289,0.318052738336714,0.21618413801873596
0.22999999999999995,0.19012716354645,0.9887485648679678,0.3189275265711217,0.22042304268577
0.23999999999999994,0.19056704232851185,0.9862227324913893,0.319413973896553,0.22415327879275995
0.24999999999999992,0.19134975897161222,0.9843857634902411,0.3204155611196233,0.22915518629986012
0.2599999999999999,0.1920794749617909,0.9811710677382319,0.3212661178151197,0.23466576236700437
0.2699999999999999,0.19303252695478845,0.9784156142365098,0.3224488251541867,0.24093934127421474
0.2799999999999999,0.19424624954262715,0.9752009184845005,0.32396353789236815,0.2486541477682167
0.2899999999999999,0.19553769401330376,0.9719862227324914,0.32557781794408336,0.2566232885422407
0.29999999999999993,0.19702497895032275,0.9671641791044776,0.327361753390588,0.2662879911830783
0.30999999999999994,0.19876718824087244,0.9625717566016073,0.3294949891923757,0.2768004747573227
0.3199999999999999,0.19990375360923965,0.9538461538461539,0.3305351104038194,0.2867195116781824
0.32999999999999985,0.2019315619178351,0.9458094144661309,0.3328081444673373,0.2999448942393286
0.33999999999999986,0.20379075815163034,0.9357060849598163,0.3346885138187343,0.31325505489381544
0.34999999999999987,0.2061866229642528,0.9244546498277841,0.3371718102257024,0.3290237802551821
0.3599999999999999,0.20814026958719462,0.9076923076923077,0.3386302308647792,0.34547073036327414
0.3699999999999999,0.21064890044415557,0.8929965556831229,0.3408861813560065,0.362511127124751
0.3799999999999999,0.21325422590395163,0.8748564867967853,0.34291886053732956,0.38107752956636004
0.3899999999999999,0.21589196708009736,0.8553386911595867,0.34476375584247304,0.3998134881946505
