feature,coefficient,abs_coefficient,odds_ratio
cuisine_grouped_Donuts,-1.2168971381710907,1.2168971381710907,0.29614764801212223
cuisine_grouped_Hamburgers,-0.7041778502827327,0.7041778502827327,0.4945149725179823
cuisine_grouped_Chinese,0.5403948710226761,0.5403948710226761,1.7166845973696352
cuisine_grouped_Korean,0.5204497343584016,0.5204497343584016,1.6827842854545323
yelp_category_primary_restaurants,0.50606688435679,0.50606688435679,1.6587542757529614
yelp_category_primary_dimsum,0.4539495700303993,0.4539495700303993,1.5745185925480836
yelp_category_primary_burgers,0.4529833741694349,0.4529833741694349,1.5729980338979803
yelp_category_primary_latin,-0.44820170598221154,0.44820170598221154,0.6387758261312256
has_history,-0.44698989836625574,0.44698989836625574,0.6395503687457562
cuisine_grouped_Latin American,0.44075678895392256,0.44075678895392256,1.5538827349357995
yelp_category_primary_bakeries,0.43807520076206974,0.43807520076206974,1.5497214432711912
yelp_category_primary_hotdogs,-0.43633204232408185,0.43633204232408185,0.6464030571244652
yelp_category_primary_lounges,-0.42656836062473463,0.42656836062473463,0.6527452419777878
yelp_category_primary_caribbean,-0.42419579463990126,0.42419579463990126,0.6542957617635856
cuisine_grouped_Thai,0.40019914800889805,0.40019914800889805,1.4921218211442255
yelp_category_primary_movietheaters,-0.38760633191044763,0.38760633191044763,0.6786794651304332
yelp_category_primary_diners,0.38076221057045334,0.38076221057045334,1.4633995830812931
cuisine_grouped_Sandwiches,-0.3711115933590014,0.3711115933590014,0.6899669415339175
yelp_category_primary_bars,-0.36728551025281797,0.36728551025281797,0.6926118690223648
yelp_category_primary_catering,0.3643209388436362,0.3643209388436362,1.439536143093749
yelp_category_primary_hotels,0.35586244790562827,0.35586244790562827,1.4274111913606016
cuisine_grouped_Caribbean,0.3540595499537412,0.3540595499537412,1.4248400331116173
cuisine_grouped_Coffee/Tea,-0.3376921005000036,0.3376921005000036,0.7134149141805021
yelp_category_primary_delis,0.32673525899885486,0.32673525899885486,1.3864343825634862
yelp_category_primary_danceclubs,0.3232492990641384,0.3232492990641384,1.3816097419913416
cuisine_grouped_Asian/Asian Fusion,0.3193681687592581,0.3193681687592581,1.3762579268161537
yelp_category_primary_italian,0.3075809337427977,0.3075809337427977,1.3601308845306481
yelp_category_primary_coffee,-0.30323250389088774,0.30323250389088774,0.73842738916884
yelp_category_primary_chinese,0.29082302082720135,0.29082302082720135,1.3375278484298145
yelp_category_primary_grocery,0.26607056704865506,0.26607056704865506,1.3048271332379726
yelp_category_primary_gaybars,-0.2573641770417163,0.2573641770417163,0.7730866220949255
yelp_category_primary_donuts,-0.2389213280443625,0.2389213280443625,0.7874768322782104
yelp_category_primary_theater,-0.23835037446232854,0.23835037446232854,0.7879265733747959
yelp_category_primary_pizza,0.23267664120949963,0.23267664120949963,1.2619733431697193
yelp_category_primary_sandwiches,0.22920239665615194,0.22920239665615194,1.2575965465890466
inspection_count,0.22915047762520133,0.22915047762520133,1.2575312550899713
yelp_category_primary_japanese,0.22627269399006497,0.22627269399006497,1.2539175544416414
yelp_category_primary_social_clubs,-0.22245358215412106,0.22245358215412106,0.8005521657948506
yelp_category_primary_breakfast_brunch,-0.2177280925704474,0.2177280925704474,0.8043441190771
yelp_category_primary_himalayan,0.2070465851818837,0.2070465851818837,1.230039872077235
yelp_category_primary_divebars,-0.20538654014783564,0.20538654014783564,0.8143324833690203
yelp_category_primary_mexican,0.203533715936423,0.203533715936423,1.225726483460722
yelp_category_primary_antiques,0.20036281416625437,0.20036281416625437,1.2218459807823936
yelp_category_primary_desserts,0.20014289834141102,0.20014289834141102,1.2215773070595828
yelp_category_primary_bagels,-0.19499208127093498,0.19499208127093498,0.8228411738865393
yelp_category_primary_icecream,0.19276346189019317,0.19276346189019317,1.2125959344436126
cuisine_grouped_Jewish/Kosher,0.19267282996179522,0.19267282996179522,1.2124860395157762
yelp_category_primary_spanish,-0.19261844297666814,0.19261844297666814,0.8247966210510037
yelp_category_primary_southern,-0.1825073992163175,0.1825073992163175,0.8331784790377254
yelp_category_primary_tacos,-0.1824412357088491,0.1824412357088491,0.833233606871951
yelp_category_primary_newamerican,0.18239175971213695,0.18239175971213695,1.2000842464589578
yelp_category_primary_karaoke,-0.18111610631645467,0.18111610631645467,0.8343384811041309
yelp_category_primary_dominican,-0.18051128032229485,0.18051128032229485,0.834843263342752
yelp_category_primary_womenscloth,0.17355707655320293,0.17355707655320293,1.1895285790232892
yelp_category_primary_wine_bars,-0.17191710427330253,0.17191710427330253,0.8420489725369186
yelp_category_primary_escapegames,0.1708594018615339,0.1708594018615339,1.18632394235772
yelp_category_primary_boattours,0.16572286294426336,0.16572286294426336,1.1802459665025222
yelp_category_primary_food,0.16438161767708873,0.16438161767708873,1.1786640283065588
yelp_category_primary_irish,0.16326386798649153,0.16326386798649153,1.1773473129697694
yelp_category_primary_cajun,0.16018736672030068,0.16018736672030068,1.1737307684750369
yelp_category_primary_venues,-0.1556008351976578,0.1556008351976578,0.855900767654414
yelp_category_primary_panasian,0.15512410267569762,0.15512410267569762,1.1678028795745967
yelp_category_primary_tapas,-0.1547117007848153,0.1547117007848153,0.8566621169016642
yelp_category_primary_newmexican,0.15450835911349534,0.15450835911349534,1.167084033804617
yelp_category_primary_tex-mex,-0.1534927017793544,0.1534927017793544,0.8577070239110952
complaint_density,0.15324771532421944,0.15324771532421944,1.1656136835545197
yelp_category_primary_german,-0.1531427284320228,0.1531427284320228,0.8580072510419658
prev_score,0.15080204754794635,0.15080204754794635,1.162766462826232
yelp_category_primary_russian,0.1504445413108317,0.1504445413108317,1.162350840861613
yelp_category_primary_hospitals,0.14824878638307584,0.14824878638307584,1.1598014032693966
yelp_category_primary_coffeeroasteries,-0.14500743241277753,0.14500743241277753,0.8650158639318893
yelp_category_primary_mediterranean,-0.14350053438572724,0.14350053438572724,0.8663203372378976
yelp_category_primary_vietnamese,-0.14306831136423195,0.14306831136423195,0.8666948617648721
yelp_category_primary_cafes,0.14285675662395392,0.14285675662395392,1.1535645493501072
yelp_category_primary_musicvenues,-0.13659961165332093,0.13659961165332093,0.8723194227517674
yelp_category_primary_tapasmallplates,0.1359551673293109,0.1359551673293109,1.1456305307671868
yelp_category_primary_thai,0.1329089742017289,0.1329089742017289,1.1421460288449956
has_yelp,-0.13253853222595802,0.13253853222595802,0.8758691842666613
yelp_category_primary_bangladeshi,0.132461334853225,0.132461334853225,1.1416348737558482
cuisine_grouped_American,-0.1313096870028553,0.1313096870028553,0.8769461535085403
cuisine_grouped_Chicken,-0.13011334526001345,0.13011334526001345,0.8779959086059249
yelp_category_primary_taiwanese,0.1289436621183773,0.1289436621183773,1.1376260309196489
month_cos,0.12746685963146678,0.12746685963146678,1.1359472219077904
yelp_category_primary_indpak,0.12673539904870043,0.12673539904870043,1.1351166251023068
cuisine_grouped_Japanese,-0.12430740369013944,0.12430740369013944,0.8831083283939773
yelp_category_primary_british,0.12300000913553676,0.12300000913553676,1.1308844312787256
summer_flag,0.12285590592756228,0.12285590592756228,1.1307214789455888
yelp_category_primary_sushi,-0.12170488122055224,0.12170488122055224,0.8854096309586021
yelp_category_primary_juicebars,0.12122336567871689,0.12122336567871689,1.128877036593813
yelp_category_primary_mideastern,0.12018420277392423,0.12018420277392423,1.1277045587565593
yelp_category_primary_nutritionists,0.11927368390695399,0.11927368390695399,1.12667822979629
cuisine_grouped_Other,0.11701373189192754,0.11701373189192754,1.1241348660830441
yelp_category_primary_irish_pubs,-0.11593008186139807,0.11593008186139807,0.890537485844172
cuisine_grouped_Bakery Products/Desserts,-0.11375427970668617,0.11375427970668617,0.8924772287078275
total_population,0.11276067224312346,0.11276067224312346,1.1193640060120014
yelp_category_primary_seafoodmarkets,0.1126430485006159,0.1126430485006159,1.1192323499714758
yelp_category_primary_tradamerican,0.11096873941427103,0.11096873941427103,1.1173599769811464
yelp_category_primary_customcakes,-0.10904155662697676,0.10904155662697676,0.8966931531810718
yelp_category_primary_moroccan,0.10902818733991737,0.10902818733991737,1.1151937842446968
yelp_category_primary_halal,-0.10850802257009645,0.10850802257009645,0.8971716971652701
yelp_category_primary_beerbar,-0.10502877168092607,0.10502877168092607,0.9002986191090169
yelp_category_primary_cuban,0.10421482167203061,0.10421482167203061,1.1098388467455425
yelp_category_primary_pubs,0.09863043882350235,0.09863043882350235,1.103658354903182
yelp_category_primary_colombian,-0.09788274076823986,0.09788274076823986,0.9067552229411826
yelp_category_primary_gastropubs,-0.09568988637346153,0.09568988637346153,0.9087457868275267
yelp_category_primary_jazzandblues,-0.09438971067910741,0.09438971067910741,0.9099280844426659
yelp_category_primary_steak,0.09400019142099862,0.09400019142099862,1.0985599562045976
yelp_category_primary_sportsbars,0.0910272398368392,0.0910272398368392,1.0952988406138169
yelp_category_primary_chicken_wings,0.0907214464441259,0.0907214464441259,1.094963956670569
yelp_category_primary_brazilian,-0.09004217486652946,0.09004217486652946,0.9138926411582744
yelp_category_primary_puertorican,0.08964710146899606,0.08964710146899606,1.09378821933261
yelp_category_primary_bowling,0.08834947358466191,0.08834947358466191,1.0923698097226096
yelp_category_primary_unknown,0.08620133061004134,0.08620133061004134,1.0900257617666285
yelp_category_primary_gyms,-0.08507267508552253,0.08507267508552253,0.9184455338682147
yelp_category_primary_african,0.08348831216796868,0.08348831216796868,1.0870725096977278
yelp_category_primary_turkish,-0.08304354050861402,0.08304354050861402,0.9203110755354483
yelp_category_primary_bubbletea,0.08065095096546661,0.08065095096546661,1.0839924640018406
yelp_category_primary_fishnchips,-0.08018944507226126,0.08018944507226126,0.9229414831077053
yelp_category_primary_ethiopian,-0.07891735321584382,0.07891735321584382,0.9241162965291843
yelp_category_primary_polish,-0.07670292434409244,0.07670292434409244,0.926164953802816
yelp_category_primary_seafood,-0.07617586615358612,0.07617586615358612,0.9266532252899179
temp_mean,0.07588136242988183,0.07588136242988183,1.0788345762520677
cuisine_grouped_Mexican,0.07498345865696693,0.07498345865696693,1.0778663213806041
yelp_category_primary_hookah_bars,0.07490624114042824,0.07490624114042824,1.077783094433437
yelp_category_primary_modern_european,-0.07385090181440383,0.07385090181440383,0.9288101674286773
month_sin,-0.07046033868818043,0.07046033868818043,0.931964701735451
yelp_category_primary_kosher,-0.06788052873924175,0.06788052873924175,0.9343720975216623
yelp_category_primary_stripclubs,-0.0676522609574459,0.0676522609574459,0.9345854089128683
yelp_category_primary_ramen,-0.06758502014007754,0.06758502014007754,0.9346482533124949
is_weekend,-0.06684091604810621,0.06684091604810621,0.9353439877196464
yelp_category_primary_beer_and_wine,-0.06677389770536277,0.06677389770536277,0.9354066750241746
yelp_category_primary_gourmet,0.06665387650022653,0.06665387650022653,1.068925433925602
complaint_intensity,-0.06623578076358541,0.06623578076358541,0.9359101686605349
food_complaints_total,-0.06623578076358541,0.06623578076358541,0.9359101686605349
yelp_category_primary_vegan,0.06619415295017358,0.06619415295017358,1.068434136669488
yelp_category_primary_sports_clubs,-0.065774394817776,0.065774394817776,0.9363420840910877
yelp_category_primary_comfortfood,-0.06558882185866002,0.06558882185866002,0.9365158599859321
yelp_category_primary_soulfood,0.06552027676277145,0.06552027676277145,1.0677143868853363
yelp_category_primary_venezuelan,0.0643395280348608,0.0643395280348608,1.0664544284747774
yelp_category_primary_fooddeliveryservices,-0.06427508150837821,0.06427508150837821,0.9377470071866807
yelp_category_primary_empanadas,-0.06333409202381592,0.06333409202381592,0.938629832559177
yelp_category_primary_collegeuniv,-0.06231691569207433,0.06231691569207433,0.9395850703493972
yelp_category_primary_bbq,0.062021563406705095,0.062021563406705095,1.0639852876281546
yelp_category_primary_banks,-0.057617879732843,0.057617879732843,0.9440106041095394
"cuisine_grouped_Juice, Smoothies, Fruit Salads",-0.05619128503740866,0.05619128503740866,0.9453582856989354
yelp_category_primary_airportlounges,-0.055928055470936044,0.055928055470936044,0.9456071647053607
cuisine_grouped_Spanish,0.05572212309313472,0.05572212309313472,1.0573038425912717
yelp_category_primary_massage,-0.05397107445759929,0.05397107445759929,0.9474595118857226
boro_MANHATTAN,-0.05383074778328794,0.05383074778328794,0.9475924750569918
yelp_category_primary_creperies,-0.05317056166324317,0.05317056166324317,0.9482182690039931
snowfall_sum,-0.05299427063881614,0.05299427063881614,0.9483854461094948
yelp_price,-0.052268805563491755,0.052268805563491755,0.9490737162563838
