threshold,precision,recall,f1
0.1,0.18493645598673863,0.9990815154994259,0.3121009970590345
0.11,0.18513001659786354,0.9988518943742825,0.3123653597587247
0.12,0.18541409147095178,0.9988518943742825,0.31276962899050903
0.13,0.18574846206425155,0.9983926521239954,0.31322263444152293
0.13999999999999999,0.1860813704496788,0.9977037887485649,0.313661793900018
0.14999999999999997,0.18647197766802662,0.9970149253731343,0.3141823444283647
0.15999999999999998,0.18676306050434632,0.9965556831228473,0.31457253651288375
0.16999999999999998,0.18722761596548004,0.9963260619977038,0.31521976026153287
0.17999999999999997,0.18759199930729933,0.9949483352468427,0.3156667759443412
0.18999999999999995,0.18796404845642828,0.9940298507462687,0.3161469363908566
0.19999999999999996,0.18858712236801953,0.9933409873708381,0.3169927456583864
0.20999999999999996,0.18887332574630133,0.9908151549942594,0.31726774750928277
0.21999999999999995,0.18958617353445623,0.9898966704936855,0.31822543736620656
0.22999999999999995,0.19011222055315014,0.9880597014925373,0.3188706510059654
0.23999999999999994,0.1906644164149938,0.9857634902411022,0.31952662721893493
0.24999999999999992,0.1912973552537527,0.9832376578645236,0.3202812371442462
0.2599999999999999,0.19234923492349235,0.9814006888633754,0.32165569143932266
0.2699999999999999,0.19321634244773953,0.9784156142365098,0.32270524083611024
0.2799999999999999,0.19449406806834318,0.9749712973593571,0.32429542503627895
0.2899999999999999,0.19568837897853442,0.9712973593570609,0.3257479496361326
0.29999999999999993,0.1970874695635887,0.9664753157290471,0.327408502197503
0.30999999999999994,0.19872738496604778,0.9609644087256027,0.32934602974738336
0.3199999999999999,0.20019286403085826,0.9533869115958669,0.33090257023311415
0.32999999999999985,0.20172726826635262,0.9439724454649828,0.332416915986092
0.33999999999999986,0.20395395395395396,0.9357060849598163,0.3349085679063078
0.34999999999999987,0.20649997432869538,0.9235361653272101,0.3375293722725747
0.3599999999999999,0.20847591471439852,0.9092996555683123,0.339186295503212
0.3699999999999999,0.2110912343470483,0.8941446613088404,0.34154898693097097
0.3799999999999999,0.21392951196279486,0.8766934557979335,0.3439329790108999
0.3899999999999999,0.21608448415922016,0.8551090700344431,0.34499050442354906
0.3999999999999998,0.2188537955190531,0.8321469575200918,0.3465621115042555
0.4099999999999998,0.2213807901047583,0.8055109070034443,0.34730953913172613
0.4199999999999998,0.224927229425774,0.7807118254879449,0.34923732730727747
0.4299999999999998,0.22788334377392636,0.7517795637198622,0.3497489584446106
0.43999999999999984,0.2317387779170045,0.7219288174512055,0.3508536993639103
0.44999999999999984,0.236015625,0.6936854190585534,0.35220052462838825
0.45999999999999985,0.24058716205009123,0.6661308840413318,0.3535002741729117
0.46999999999999986,0.2447700591402595,0.6367393800229622,0.3536087732721245
0.47999999999999976,0.2478616411316853,0.6055109070034443,0.3517406962785114
0.48999999999999977,0.25216602861172677,0.5747416762342136,0.3505356767733352
0.4999999999999998,0.253079749297601,0.5377726750861079,0.34418399588507603
0.5099999999999998,0.2579137951173928,0.5070034443168772,0.3419015174976773
0.5199999999999998,0.26150733434496715,0.4748564867967853,0.33727472885916987
