,Accuracy,Precision,Recall,F1-score,ROC-AUC
<<<<<<< HEAD
Threshold 0.50,0.6216777584672121,0.253079749297601,0.5377726750861079,0.34418399588507603,0.6304632483248138
Best F1 Threshold 0.47,0.5702598448560892,0.2447700591402595,0.6367393800229622,0.3536087732721245,0.6304632483248138
=======
Threshold 0.50,0.6216777584672121,0.253079749297601,0.5377726750861079,0.34418399588507603,0.6304627469686455
Best F1 Threshold 0.47,0.5702598448560892,0.2447700591402595,0.6367393800229622,0.3536087732721245,0.6304627469686455
>>>>>>> e38f3dbded5bddea264aecf239810cc9dd596a6f
