,Accuracy,Precision,Recall,F1-score,ROC-AUC
Majority-Class Baseline,0.8153957017506677,0.0,0.0,0.0,0.5
<<<<<<< HEAD
Logistic Regression | Threshold 0.50,0.6216777584672121,0.253079749297601,0.5377726750861079,0.34418399588507603,0.6304632483248138
=======
Logistic Regression | Threshold 0.50,0.6216777584672121,0.253079749297601,0.5377726750861079,0.34418399588507603,0.6304627469686455
>>>>>>> e38f3dbded5bddea264aecf239810cc9dd596a6f
