feature,coefficient,abs_coefficient
cuisine_grouped_Donuts,-1.2168616349491632,1.2168616349491632
cuisine_grouped_Hamburgers,-0.7041711346140758,0.7041711346140758
cuisine_grouped_Chinese,0.5403853978106,0.5403853978106
cuisine_grouped_Korean,0.5204489447847475,0.5204489447847475
yelp_category_primary_restaurants,0.5060604748579143,0.5060604748579143
yelp_category_primary_dimsum,0.4539404163016634,0.4539404163016634
yelp_category_primary_burgers,0.4529695748653869,0.4529695748653869
yelp_category_primary_latin,-0.4482044096775678,0.4482044096775678
has_history,-0.44698706088159207,0.44698706088159207
cuisine_grouped_Latin American,0.44074583680343055,0.44074583680343055
yelp_category_primary_bakeries,0.4380977618302408,0.4380977618302408
yelp_category_primary_hotdogs,-0.4363216139483906,0.4363216139483906
yelp_category_primary_lounges,-0.4265581251090856,0.4265581251090856
yelp_category_primary_caribbean,-0.4241855243843262,0.4241855243843262
cuisine_grouped_Thai,0.4001938882398847,0.4001938882398847
yelp_category_primary_movietheaters,-0.3876028246568947,0.3876028246568947
yelp_category_primary_diners,0.3807591126142649,0.3807591126142649
cuisine_grouped_Sandwiches,-0.3710776446502899,0.3710776446502899
yelp_category_primary_bars,-0.3672775175580374,0.3672775175580374
yelp_category_primary_catering,0.3643175960124703,0.3643175960124703
yelp_category_primary_hotels,0.35586121691362793,0.35586121691362793
cuisine_grouped_Caribbean,0.35404913324885895,0.35404913324885895
cuisine_grouped_Coffee/Tea,-0.3377003318375344,0.3377003318375344
yelp_category_primary_delis,0.32673035126565064,0.32673035126565064
yelp_category_primary_danceclubs,0.3232447915087917,0.3232447915087917
cuisine_grouped_Asian/Asian Fusion,0.31935534262962284,0.31935534262962284
yelp_category_primary_italian,0.3075626079329439,0.3075626079329439
yelp_category_primary_coffee,-0.3032252200909692,0.3032252200909692
yelp_category_primary_chinese,0.29081510015490336,0.29081510015490336
yelp_category_primary_grocery,0.2660655506865977,0.2660655506865977
yelp_category_primary_gaybars,-0.25736648683948105,0.25736648683948105
yelp_category_primary_donuts,-0.2389174337072488,0.2389174337072488
yelp_category_primary_theater,-0.23835272429492452,0.23835272429492452
yelp_category_primary_pizza,0.23266587676027758,0.23266587676027758
yelp_category_primary_sandwiches,0.22919869161545917,0.22919869161545917
inspection_count,0.22914793416709556,0.22914793416709556
yelp_category_primary_japanese,0.22626952749731,0.22626952749731
yelp_category_primary_social_clubs,-0.22245576689439747,0.22245576689439747
yelp_category_primary_breakfast_brunch,-0.21772962270436555,0.21772962270436555
yelp_category_primary_himalayan,0.20704612948427323,0.20704612948427323
yelp_category_primary_divebars,-0.2053817479385983,0.2053817479385983
yelp_category_primary_mexican,0.20352567365381624,0.20352567365381624
yelp_category_primary_antiques,0.20035594871134457,0.20035594871134457
yelp_category_primary_desserts,0.20013772547241113,0.20013772547241113
yelp_category_primary_bagels,-0.19499164973922162,0.19499164973922162
yelp_category_primary_icecream,0.19275764024656805,0.19275764024656805
cuisine_grouped_Jewish/Kosher,0.1926806522248269,0.1926806522248269
yelp_category_primary_spanish,-0.19261403411569322,0.19261403411569322
yelp_category_primary_southern,-0.18250811143323467,0.18250811143323467
yelp_category_primary_tacos,-0.18244190510286157,0.18244190510286157
yelp_category_primary_newamerican,0.18238354897897424,0.18238354897897424
yelp_category_primary_karaoke,-0.18111769586041954,0.18111769586041954
yelp_category_primary_dominican,-0.18050671742984192,0.18050671742984192
yelp_category_primary_womenscloth,0.17355200328122325,0.17355200328122325
yelp_category_primary_wine_bars,-0.17191199626798356,0.17191199626798356
yelp_category_primary_escapegames,0.17085454801355573,0.17085454801355573
yelp_category_primary_boattours,0.1657183375610111,0.1657183375610111
yelp_category_primary_food,0.1643768393480715,0.1643768393480715
yelp_category_primary_irish,0.16326292146377855,0.16326292146377855
yelp_category_primary_cajun,0.1601830274861573,0.1601830274861573
yelp_category_primary_venues,-0.15559883002434788,0.15559883002434788
yelp_category_primary_panasian,0.1551205054755439,0.1551205054755439
yelp_category_primary_tapas,-0.15471213282194507,0.15471213282194507
yelp_category_primary_newmexican,0.15450502704468427,0.15450502704468427
yelp_category_primary_tex-mex,-0.15349325701909775,0.15349325701909775
complaint_density,0.15323617759464073,0.15323617759464073
yelp_category_primary_german,-0.15314313106078137,0.15314313106078137
prev_score,0.15080425425192648,0.15080425425192648
yelp_category_primary_russian,0.15044400881212183,0.15044400881212183
yelp_category_primary_hospitals,0.14824557741170527,0.14824557741170527
yelp_category_primary_coffeeroasteries,-0.1450081728541018,0.1450081728541018
yelp_category_primary_mediterranean,-0.14349918551706498,0.14349918551706498
yelp_category_primary_vietnamese,-0.14306805432365338,0.14306805432365338
yelp_category_primary_cafes,0.14285280684542295,0.14285280684542295
yelp_category_primary_musicvenues,-0.1365999836459067,0.1365999836459067
yelp_category_primary_tapasmallplates,0.13595223903695206,0.13595223903695206
yelp_category_primary_thai,0.13290533650045652,0.13290533650045652
has_yelp,-0.13252989834649834,0.13252989834649834
yelp_category_primary_bangladeshi,0.13245837311020497,0.13245837311020497
cuisine_grouped_American,-0.13131752860975449,0.13131752860975449
cuisine_grouped_Chicken,-0.1301155183583582,0.1301155183583582
yelp_category_primary_taiwanese,0.128940641264398,0.128940641264398
month_cos,0.12746849054675985,0.12746849054675985
yelp_category_primary_indpak,0.12673300555420444,0.12673300555420444
cuisine_grouped_Japanese,-0.12430139632105797,0.12430139632105797
yelp_category_primary_british,0.12299747781056057,0.12299747781056057
summer_flag,0.12285597322939316,0.12285597322939316
yelp_category_primary_sushi,-0.12170186904249924,0.12170186904249924
yelp_category_primary_juicebars,0.1212218908526578,0.1212218908526578
yelp_category_primary_mideastern,0.12018142228844546,0.12018142228844546
yelp_category_primary_nutritionists,0.1192708492170533,0.1192708492170533
cuisine_grouped_Other,0.11700738448171911,0.11700738448171911
yelp_category_primary_irish_pubs,-0.11592982780073592,0.11592982780073592
cuisine_grouped_Bakery Products/Desserts,-0.11376979665506465,0.11376979665506465
total_population,0.11275937314232182,0.11275937314232182
yelp_category_primary_seafoodmarkets,0.11264046763966484,0.11264046763966484
yelp_category_primary_tradamerican,0.11096942510647952,0.11096942510647952
yelp_category_primary_customcakes,-0.1090404469749193,0.1090404469749193
yelp_category_primary_moroccan,0.10902639483451446,0.10902639483451446
yelp_category_primary_halal,-0.10850635846078076,0.10850635846078076
yelp_category_primary_beerbar,-0.10502781239804206,0.10502781239804206
yelp_category_primary_cuban,0.10421259947494099,0.10421259947494099
yelp_category_primary_pubs,0.09862431483772312,0.09862431483772312
yelp_category_primary_colombian,-0.0978841784336851,0.0978841784336851
yelp_category_primary_gastropubs,-0.09568823239073095,0.09568823239073095
